pID,pName,Latitude,Longitude,Tags,province number,province name,district,Latitude,Longitude,latitude(Rd),longitude(Rd),latitude(rp),longitude(rp)
1,Pashupatinath temple,27.71051,85.34881,"Historical, temple, statue",3,Bagmati,Kathmandu,27.7103145,85.3221634,0.4836362248,1.489152676,0.4836396369,1.489617747
2,Hanumandhoka palace,27.70443,85.30738,"Temple,sightseeing, historical",3,Bagmati,Kathmandu,27.7103145,85.3221634,0.4836362248,1.489152676,0.4835335209,1.488894657
3,Chitwan national park,27.51929,84.31353,"trekking, wildlife,lakes,river",3,Bagmati,Chitwan,27.529131,84.3542049,0.4804739762,1.472258613,0.4803022183,1.471548702
4,Kalinchowk bhagwati temple,27.75781,86.0336,"Temple,sightseeing,Religious",3,Bagmati,Dolakha,27.7784288,86.1751759,0.4848250436,1.504040553,0.4844651776,1.501569587
5,Baudhanath stupa,27.72147,85.36204,"Temple,statues",3,Bagmati,Kathmandu,27.7103145,85.3221634,0.4836362248,1.489152676,0.483830925,1.489848654
6,Gosaikunda lake,28.08201,85.41499,"lake,trekking,mountain",3,Bagmati,Rasuwa,28.1755277,85.3962769,0.4917557269,1.490446201,0.4901235351,1.490772806
7,Saping village,27.65456,85.74103,"hill,village,cultural,trekking",3,Bagmati,Sindhupalchowk,27.9512034,85.684578,0.4878405292,1.495478004,0.4826631252,1.496463278
8,Patan durbar square,27.6727,85.32532,"temples,statues,cultural,sculpture",3,Bagmati,Lalitpur,24.6911707,78.4138183,0.4309422249,1.368579308,0.4829797279,1.489207769
9,Changunarayan temple,27.71632,85.42782,"temples,statues,cultural,sculpture",3,Bagmati,Bhaktapur,27.674766,85.4273979,0.4830157864,1.490989365,0.4837410405,1.490996732
10,Bhaktapur durbar square,27.67207,85.4283,"temples,statues,cultural,sculpture,museum",3,Bagmati,Bhaktapur,27.674766,85.4273979,0.4830157864,1.490989365,0.4829687323,1.491005109
11,Nagarkot,27.71736,85.50457,"hiking, trekking, picnic spot",3,Bagmati,Bhaktapur,27.674766,85.4273979,0.4830157864,1.490989365,0.483759192,1.492336272
12,Indra sarovar lake,27.60717,85.15521,"lake, pond, cultural, boat tour",3,Bagmati,Makwanpur,27.5546357,85.023346,0.4809191172,1.483937329,0.4818360137,1.48623879
13,Swayambhunath temple,27.7149,85.2904,"temple,statues,cultural,sculpture",3,Bagmati,Kathmandu,27.7103145,85.3221634,0.4836362248,1.489152676,0.4837162569,1.4885983
14,Panauti,27.58287,85.50972,"hiking, cycling",3,Bagmati,Kavrepalanchok,27.5285353,85.643487,0.4804635792,1.494760831,0.4814118986,1.492426156
15,Dolakha Bhimsen temple,27.67798,86.07645,"temple,statues,cultural,sculpture",3,Bagmati,Dolakha,27.7784288,86.1751759,0.4848250436,1.504040553,0.4830718813,1.502317461
16,Shailung Hills,27.56763,85.97416,"hill,trekking",3,Bagmati,Dolakha,27.7784288,86.1751759,0.4848250436,1.504040553,0.4811459105,1.500532164
17,Jiri,27.62471,86.22615,"hill,trekking",3,Bagmati,Dolakha,27.7784288,86.1751759,0.4848250436,1.504040553,0.4821421444,1.504930219
18,Gaurishankar conservation area,27.82637,86.21585,"red panda, mountain, hills, trekking",3,Bagmati,Dolakha,27.7784288,86.1751759,0.4848250436,1.504040553,0.4856617754,1.50475045
19,Jilu Village,39.66618,115.2986,"cultural, village",3,Bagmati,Sindhupalchowk,27.9512034,85.684578,0.4878405292,1.495478004,0.6923054427,2.012340193
20,Tsho Rolpa,27.86102,86.47564,"lake, pond, trekking",3,Bagmati,Dolakha,27.7784288,86.1751759,0.4848250436,1.504040553,0.486266532,1.509284641
21,Tasi Gumba,27.05354,85.63202,"hindu, buddhist,monastery",3,Bagmati,Ramechhap,27.319307,86.1039189,0.4768118565,1.502796884,0.4721733473,1.494560694
22,Langtang Himal,28.20479,85.62157,"mountain, hills, trekking",3,Bagmati,Rasuwa,28.1755277,85.3962769,0.4917557269,1.490446201,0.4922664503,1.494378307
23,Langtang National Park,28.12885,85.5438,"trekking, wildlife.mountain,hills",3,Bagmati,Rasuwa,28.1755277,85.3962769,0.4917557269,1.490446201,0.4909410473,1.493020965
24,Gosaikunda,28.08201,85.41499,"lake,pond,mountain,trekking",3,Bagmati,Rasuwa,28.1755277,85.3962769,0.4917557269,1.490446201,0.4901235351,1.490772806
25,Tamang heritage and Langtang Valley,28.11949,85.29603,"village, scenary, trekking",3,Bagmati,Rasuwa,28.1755277,85.3962769,0.4917557269,1.490446201,0.4907776845,1.488696562
26,Singa La Pass Trek,28.11867,85.12632,"trekking, scenary,village,mountain, hills",3,Bagmati,Rasuwa,28.1755277,85.3962769,0.4917557269,1.490446201,0.4907633728,1.485734564
27,Trishuli River,28.11806,84.91727,"rafting, river, trekking",3,Bagmati,Nuwakot,27.9194201,85.1660825,0.487285806,1.486428551,0.4907527263,1.482085953
28,Ruby Valley Trek,28.18093,85.01684,"trekking, mountain, hills, scenery",3,Bagmati,Dhading,27.9711357,84.8984775,0.4881884135,1.481757962,0.4918500148,1.483823778
29,Ganga Jamuna Trek,28.09744,84.90578,"trekking, mountain, hills, scenery",3,Bagmati,Dhading,27.9711357,84.8984775,0.4881884135,1.481757962,0.4903928394,1.481885415
30,Ganesh Himal Trek,27.71812,85.31061,"trekking,mountain,hills, scenery",3,Bagmati,Dhading,27.9711357,84.8984775,0.4881884135,1.481757962,0.4837724565,1.488951031
31,Jyamrung Trek,27.9764,84.88285,"trekking,mountain,hills, scenery",3,Bagmati,Dhading,27.9711357,84.8984775,0.4881884135,1.481757962,0.4882802929,1.481485211
32,Tripurasundari Mai,28.27981,84.77166,"temple,hindu, cultural",3,Bagmati,Nuwakot,27.9194201,85.1660825,0.487285806,1.486428551,0.4935757963,1.479544579
